x,y,z
-3.004629999999999801e-01,-2.014908999999999839e+00,-2.952560000000000184e-01
-4.855909999999999949e-01,-1.991101999999999927e+00,-3.038020000000000165e-01
-3.331979999999999942e-01,-1.986479499999999954e+00,-3.041654999999999776e-01
-4.864994999999999736e-01,-1.954457000000000111e+00,-3.047775000000000345e-01
-3.454130000000000256e-01,-1.963340000000000085e+00,-3.045390000000000041e-01
-4.866709999999999647e-01,-1.903214500000000031e+00,-3.048239999999999839e-01
-4.860440000000000316e-01,-1.995478000000000085e+00,-2.987950000000000328e-01
-3.861220000000000208e-01,-1.997686000000000073e+00,-3.011429999999999940e-01
-4.580489999999999839e-01,-1.954954999999999998e+00,-2.979565000000000130e-01
-2.973569999999999824e-01,-1.898049000000000097e+00,-2.885320000000000107e-01
-4.973855000000000359e-01,-1.804551500000000086e+00,-3.060979999999999812e-01
-5.036720000000000086e-01,-1.781265000000000098e+00,-3.059520000000000017e-01
-5.041984999999999939e-01,-1.868770500000000112e+00,-2.828880000000000283e-01
-4.993440000000000101e-01,-1.846413333333333462e+00,-2.865976666666666950e-01
-5.017633333333333390e-01,-1.868525999999999909e+00,-2.653726666666667011e-01
-5.000791428571428332e-01,-1.811852285714285582e+00,-2.903075714285714426e-01
-5.080755000000000132e-01,-1.797406000000000059e+00,-2.981550000000000034e-01
-5.044556000000000040e-01,-1.818126199999999582e+00,-2.642276000000000069e-01
-5.053750000000000187e-01,-1.780110999999999999e+00,-2.783189999999999831e-01
-4.978250000000000175e-01,-1.750350999999999990e+00,-3.064490000000000269e-01
-4.917799999999999949e-01,-1.725959999999999939e+00,-3.104060000000000152e-01
-4.820845000000000269e-01,-1.870626000000000122e+00,-3.051409999999999956e-01
-4.881324999999999692e-01,-1.835475999999999885e+00,-3.063670000000000004e-01
-4.768296000000000201e-01,-1.809485599999999916e+00,-3.066576000000000302e-01
-4.708287500000000181e-01,-1.786735500000000254e+00,-3.085727500000000068e-01
-3.052079999999999793e-01,-1.786346999999999907e+00,-3.037110000000000087e-01
-4.674730000000000274e-01,-1.870676500000000075e+00,-2.933149999999999924e-01
-4.836393333333333655e-01,-1.838633666666666500e+00,-2.975073333333333458e-01
-3.192869999999999875e-01,-1.851402999999999910e+00,-3.000160000000000049e-01
-2.991749999999999687e-01,-1.839161499999999894e+00,-2.918985000000000052e-01
-4.612110000000000376e-01,-1.816894500000000079e+00,-2.964829999999999965e-01
-2.998669999999999947e-01,-1.802956999999999921e+00,-2.931190000000000184e-01
-3.017110000000000070e-01,-1.788969000000000031e+00,-2.967389999999999750e-01
-4.605055000000000121e-01,-1.749399750000000031e+00,-3.037699999999999845e-01
-4.503055238095236557e-01,-1.725324714285714434e+00,-3.096681904761904858e-01
-3.959719999999999906e-01,-1.721524749999999937e+00,-3.086605000000000043e-01
-4.339457000000000453e-01,-1.699228400000000194e+00,-3.125636999999999999e-01
-4.505573999999999968e-01,-1.673149200000000336e+00,-3.104612000000000482e-01
-3.823929999999999829e-01,-1.674355000000000038e+00,-3.066949999999999954e-01
-3.036409999999999942e-01,-1.701146000000000269e+00,-3.096993333333333265e-01
-2.985490000000000088e-01,-1.657111999999999918e+00,-3.039279999999999760e-01
-4.388943333333333308e-01,-1.746955333333333416e+00,-2.977013333333333178e-01
-4.322310000000000318e-01,-1.724266000000000076e+00,-2.963103750000000147e-01
-3.877432000000000101e-01,-1.729553399999999908e+00,-2.950023999999999980e-01
-2.945630000000000193e-01,-1.751301999999999914e+00,-2.961840000000000028e-01
-2.931300000000000017e-01,-1.716542000000000012e+00,-2.930880000000000152e-01
-2.971980000000000177e-01,-1.708029999999999937e+00,-2.873649999999999816e-01
-4.355104166666666221e-01,-1.639077916666666690e+00,-3.094102499999999978e-01
-3.816120000000000068e-01,-1.638446999999999987e+00,-3.053384999999999572e-01
-4.244897999999999172e-01,-1.615232799999999802e+00,-3.127211999999999770e-01
-3.820719230769230590e-01,-1.609595769230769413e+00,-3.089999230769230887e-01
-3.103163333333333052e-01,-1.636804333333333306e+00,-3.072766666666666979e-01
-3.023977777777778209e-01,-1.607099333333333213e+00,-3.093274444444444327e-01
-4.180800000000000072e-01,-1.571620000000000017e+00,-3.099239999999999773e-01
-3.917040000000000521e-01,-1.579315750000000129e+00,-3.111882500000000551e-01
-4.213459999999999983e-01,-1.556638500000000036e+00,-3.145419999999999883e-01
-3.852404999999999857e-01,-1.545089750000000040e+00,-3.080479999999999885e-01
-3.163114999999999677e-01,-1.590495999999999910e+00,-3.159939999999999971e-01
-3.074973333333333447e-01,-1.547101666666666597e+00,-3.060316666666666463e-01
-4.174880000000000257e-01,-1.624802999999999997e+00,-2.969479999999999897e-01
-3.794015000000000026e-01,-1.638450250000000219e+00,-2.966447500000000126e-01
-3.813100000000000378e-01,-1.616117500000000096e+00,-2.995654999999999846e-01
-2.909452500000000441e-01,-1.612106000000000039e+00,-2.939574999999999827e-01
-3.606230000000000269e-01,-1.546108999999999956e+00,-2.995220000000000105e-01
-2.793590000000000240e-01,-1.538716999999999890e+00,-2.917009999999999881e-01
-3.719745384615384953e-01,-1.525767692307692158e+00,-3.089968461538462052e-01
-3.598328000000000082e-01,-1.498740466666666604e+00,-3.111036000000000357e-01
-2.969939999999999802e-01,-1.521052272727272614e+00,-3.091130909090908374e-01
-2.955919999999999659e-01,-1.496053999999999995e+00,-3.115255000000000107e-01
-3.542319999999999913e-01,-1.468659999999999854e+00,-3.109439999999999982e-01
-3.662753333333333416e-01,-1.517144333333333206e+00,-2.999093333333333611e-01
-3.467759999999999732e-01,-1.505888000000000115e+00,-2.981449999999999934e-01
-2.821779999999999844e-01,-1.536165000000000003e+00,-2.977879999999999971e-01
-3.559074999999999878e-01,-1.438825000000000021e+00,-2.987484999999999724e-01
-3.070505000000000040e-01,-1.442976000000000036e+00,-2.885769999999999724e-01
8.836370000000000058e-01,-1.593267999999999907e+00,-2.842600000000000127e-01
8.199099999999999167e-01,-1.432236500000000134e+00,-3.037524999999999809e-01
-4.949447500000000444e-01,-2.151807500000000317e+00,-2.467937500000000062e-01
-5.002603333333334179e-01,-2.128419666666666821e+00,-2.465380000000000071e-01
-4.942254999999999843e-01,-2.151662500000000033e+00,-2.285905000000000020e-01
-4.978179999999999827e-01,-2.133020499999999764e+00,-2.197380000000000166e-01
-5.000733333333333697e-01,-2.135243999999999698e+00,-1.932946666666666979e-01
-4.949379999999999891e-01,-2.147667999999999910e+00,-1.705995000000000150e-01
-5.046500000000000430e-01,-2.139176749999999849e+00,-1.746975000000000056e-01
-4.972710000000000186e-01,-2.147901000000000060e+00,-1.424930000000000085e-01
-5.004454285714285966e-01,-2.134265714285714655e+00,-1.534075714285714209e-01
-4.996083333333332654e-01,-2.133913666666666931e+00,-1.294196666666666551e-01
-4.977113333333333389e-01,-2.148252666666666588e+00,-1.003700000000000009e-01
